69.00	139.30	35.90	54.30	58.42	635.66	204.41	-6.47	0.00	-75.00	85.58	56.58	0.25	0.15	0.18	0.00	112.52	176.86	316.60	65.68	0.00	39.52	4.30	0.00	1.08	0.00	0.00	0.00	85.00	0.00	18.28	0.00	0.00	10760.00	85.00	0.32	20.85	0.66	9.32	-0.37	20.94	0.60	12.86	-0.48	20.65	-1.53	-0.43	-0.03	20.86	0.00	0.08	
70.05	139.80	32.00	54.32	59.26	635.49	624.24	-6.47	0.00	-75.00	166.00	56.51	0.25	0.11	0.14	0.00	112.52	176.90	309.83	64.24	0.00	38.75	-3.86	-0.85	0.79	0.00	0.00	0.00	85.00	0.00	19.05	0.00	14.74	10760.00	85.00	0.24	20.85	0.66	9.33	-0.40	20.92	0.54	12.86	-0.34	20.65	-1.50	-0.43	-0.03	20.86	0.00	0.06
71.27	138.16	34.00	54.37	59.32	634.18	596.40	-6.47	0.00	-75.00	161.31	57.54	0.25	0.08	0.08	0.00	112.43	176.86	311.33	64.56	0.00	37.53	-2.18	-0.61	0.50	0.00	0.00	0.00	85.00	0.00	20.27	0.00	70.95	10760.00	85.00	0.28	20.85	0.66	9.35	-0.39	20.93	0.48	12.83	-0.45	20.63	-1.41	-0.45	-0.03	20.86	0.00	0.07	
72.07	139.95	32.45	54.53	59.38	633.39	589.54	-6.47	0.00	-75.00	163.59	57.81	0.24	0.11	0.08	0.00	112.48	176.87	309.81	64.23	0.00	36.73	-3.97	-0.49	0.60	0.00	0.00	0.00	85.00	0.00	21.07	0.00	102.96	10760.00	85.00	0.25	20.86	0.66	9.30	-0.42	20.93	0.12	11.93	-0.42	20.65	-1.71	-0.49	-0.03	20.86	0.00	0.07	
73.09	137.31	33.56	55.47	60.38	632.40	580.39	-6.48	0.00	-75.00	163.92	57.06	0.25	0.00	0.15	0.00	112.46	178.19	307.92	63.83	0.00	35.71	-4.96	-0.61	0.50	0.00	0.00	0.00	85.00	0.00	22.09	0.00	185.43	10760.00	85.00	0.26	20.86	0.66	9.29	-0.38	20.91	-0.13	12.89	-0.41	20.65	-1.50	-0.43	-0.03	20.86	0.00	0.07	
74.49	135.43	35.14	55.41	60.30	631.60	579.24	-6.47	0.00	-75.00	163.59	58.22	0.27	0.11	0.12	0.00	112.48	178.22	309.70	64.21	0.00	34.32	-2.76	-0.24	0.74	0.00	0.00	0.00	85.00	0.00	23.49	0.00	265.70	10760.00	85.00	0.23	20.85	0.63	9.44	-0.39	20.93	0.12	12.91	-0.42	20.64	-1.26	-0.45	-0.03	20.86	0.00	0.07	
75.14	137.90	34.21	56.41	61.30	630.57	578.86	-6.47	0.00	-75.02	165.54	58.29	0.25	0.12	0.05	0.00	112.47	178.14	308.09	63.87	0.00	33.66	-4.79	-0.61	0.55	0.00	0.00	0.00	85.00	0.00	24.14	0.00	276.43	10760.00	85.00	0.24	20.85	0.63	9.47	-0.43	20.92	-0.10	12.88	-0.46	20.65	-1.56	-0.48	-0.03	20.86	0.00	0.08	
76.02	137.90	35.41	56.51	61.34	629.68	583.82	-6.47	0.00	-75.00	169.83	57.13	0.25	0.14	0.15	0.00	112.52	178.19	309.75	64.22	0.00	32.78	-2.68	0.12	0.94	0.00	0.00	0.00	85.00	0.00	25.02	0.00	264.00	10760.00	85.00	0.25	20.86	0.66	9.44	-0.39	20.92	0.18	12.84	-0.43	20.65	-1.56	-0.45	-0.04	20.91	0.00	0.07	
77.01	138.38	33.92	57.58	62.32	628.96	739.02	-6.47	0.00	-75.00	186.68	53.71	0.25	0.06	0.12	0.00	112.49	179.32	307.42	63.73	0.00	31.79	-4.40	-0.37	0.60	0.00	0.00	0.00	85.00	0.00	26.01	0.00	14.02	10760.00	85.00	0.22	20.85	0.66	9.29	-0.39	20.92	0.18	12.85	-0.36	20.65	-1.65	-0.42	-0.04	21.09	0.00	0.07	
78.03	130.26	34.32	58.49	63.26	626.86	816.04	-6.47	0.00	-75.00	240.39	45.98	0.25	0.12	0.12	0.00	112.49	179.37	309.78	64.23	0.00	30.77	-1.50	-0.37	0.79	0.00	0.00	0.00	85.00	0.00	27.03	0.00	47.98	10760.00	85.00	0.25	20.85	0.63	9.46	-0.40	20.92	0.36	12.84	-0.39	20.65	-1.50	-0.40	-0.04	20.89	0.00	0.08	
79.10	134.58	32.69	59.51	64.47	625.02	798.88	-6.47	0.00	-74.98	245.29	44.21	0.25	0.11	0.08	0.00	112.46	179.41	307.42	63.73	0.00	29.70	-4.34	-0.12	0.60	0.00	0.00	0.00	85.00	0.00	28.10	0.00	82.64	10760.00	85.00	0.25	20.85	0.63	9.43	-0.39	20.93	0.48	12.86	-0.44	20.63	-1.32	-0.43	-0.03	20.86	0.00	0.07	
80.43	132.62	31.40	59.49	64.3h2	625.08	787.44	-6.47	0.00	-75.00	238.31	42.50	0.25	0.06	0.14	0.00	112.46	179.37	307.51	63.75	0.00	28.37	-4.28	0.00	0.64	0.00	0.00	0.00	85.00	0.00	29.43	0.00	100.98	10760.00	85.00	0.29	20.85	0.63	9.44	-0.33	20.93	0.21	12.85	-0.41	20.64	-1.44	-0.46	-0.03	20.86	0.00	0.07	
81.16	135.06	31.43	59.47	64.32	624.98	769.14	-6.47	0.00	-75.00	230.32	41.47	0.24	0.12	0.15	0.00	112.49	179.34	307.42	63.73	0.00	27.64	-4.38	-1.10	0.89	0.00	0.00	0.00	85.00	0.00	30.16	0.00	145.21	10760.00	85.00	0.22	20.85	0.63	9.46	-0.39	20.92	0.36	12.86	-0.47	20.64	-1.56	-0.37	-0.03	20.86	0.00	0.07	
82.20	130.48	30.40	60.43	65.38	620.92	768.38	-6.47	0.00	-75.00	235.02	42.50	0.25	0.06	0.15	0.00	112.46	179.31	307.42	63.73	0.00	26.60	-4.44	-0.61	0.69	0.00	0.00	0.00	85.00	0.00	31.20	0.00	309.75	10760.00	85.00	0.27	20.85	0.66	9.47	-0.42	20.93	0.36	12.83	-0.41	20.64	-1.44	-0.42	-0.04	20.86	0.00	0.07	
83.13	136.48	38.84	61.47	66.32	618.07	768.38	-6.47	0.00	-75.00	237.50	41.06	0.25	0.11	0.15	0.00	112.47	179.41	307.45	63.73	0.00	25.67	-4.29	-1.34	0.84	0.00	0.00	0.00	85.00	0.00	32.13	0.00	276.76	10760.00	85.00	0.22	20.85	0.63	9.47	-0.39	20.92	0.15	12.86	-0.46	20.63	-1.59	-0.42	-0.05	20.86	0.00	0.07	
84.15	130.00	39.00	62.70	67.33	617.27	1042.16	-6.47	0.00	-75.00	186.48	57.13	0.25	0.06	0.08	0.00	109.36	171.94	305.62	63.35	0.00	24.66	-17.09	-0.24	0.45	0.00	0.00	0.00	85.00	0.00	33.15	0.00	0.00	10760.00	85.00	0.28	20.85	0.63	9.33	-0.33	20.93	0.36	12.89	-0.42	20.66	-1.62	-0.45	-0.05	20.95	0.00	0.07	
