51	75.09	4.3	80.82	80.23	443.42	385.92
55	88.42	1.15	80.82	80.42	442.37	458.74
63	52.87	1.93	80.66	79.05	446.73	401.17
70.29	45.07	4	80.82	80.15	440.45	436.24
72.26	88.42	1.15	80.82	80.42	442.37	458.74
73.71	75.09	4.3	80.82	80.23	443.42	385.92
76.69	38.39	5	80.74	80.07	443.31	468.27
80.17	45.88	5	80.74	80.49	443.17	435.1
82.67	105.81	2.42	80.74	80.38	444.82	415.27
83.65	75.02	3.13	80.7	79.2	446.8	410.7
84.23	52.87	1.93	80.66	79.05	446.73	401.17
85.12	47.23	2	80.74	78.66	446.85	331.02
85.12	47.23	1	80.85	78.17	446.78	292.13
85.12	44	4	80.89	77.75	446.86	279.17
89.35	114.04	3	81.31	84.57	449.1	401.55
89.95	37.86	3	81.31	84.38	448.99	388.21
90.63	37.56	4	81.39	83.93	449.26	388.59
91.1	39.24	1.57	81.43	83.35	449.22	365.71
91.92	11.29	12.31	81.73	86.52	447.25	372.57
92.09	11.06	12.31	81.77	86.56	449.19	382.87
92.71	11.82	11.96	81.92	86.71	447.29	422.14
92.97	12.65	11.11	81.96	86.78	449.13	448.06
93.53	21.62	9.55	82	86.86	447.19	426.71
94.05	32.69	11.04	82.04	86.82	447.27	384.39
94.29	25.24	11.39	82.04	86.75	447.27	384.78
94.54	20.1	11.68	82.07	86.78	447.17	394.69
94.79	16.62	11.18	82.11	86.94	447.25	427.48
95.61	34.61	9.06	82.19	86.94	447.26	420.61
96.19	42.74	10.47	82.23	87.09	447.27	410.7
96.81	33.56	9.55	82.27	87.17	447.19	450.73
97.61	44.26	9.06	82.3	87.28	447.24	429.38
98.54	55.57	9.69	82.38	87.28	447.24	380.58
99.67	22.27	11.39	82.46	87.39	447.18	374.1
99.9	18.75	11.75	82.46	87.39	445.51	379.44
100.08	15.61	11.53	82.49	87.43	445.47	389.35
100.27	13.58	11.46	82.57	87.47	445.49	393.93
100.53	13.52	12.17	82.57	87.51	445.47	386.3
101.3	15.39	11.53	82.72	87.7	445.44	396.98
101.54	15.06	10.26	82.72	87.74	445.35	433.57
101.96	19.26	10.83	82.76	87.7	443.25	393.54
102.31	20.17	10.61	82.84	87.74	445.49	379.06
102.72	22.26	10.61	82.84	87.74	445.35	397.36
103.13	24.62	10.76	82.88	87.85	445.42	391.64
103.38	21.31	11.25	82.91	87.93	445.35	387.44
103.6	18.11	11.18	82.99	87.89	445.34	393.16
103.87	17.14	11.68	83.03	87.93	443.22	378.68
104.06	14.67	11.32	83.07	88	443.35	390.87
104.32	14.02	11.18	83.1	88.04	443.26	395.07
104.59	15.04	11.32	83.14	88.08	443.28	406.12
104.84	14.6	11.11	83.14	88.12	445.28	442.34
105.33	15.31	9.84	83.26	88.39	443.22	372.57
105.73	17.83	11.82	83.29	88.27	443.27	375.62
105.93	15.57	11.96	83.33	88.27	445.49	385.92
106.06	18.77	11.6	83.37	88.27	443.16	385.16
106.3	15.08	12.03	83.41	88.35	443.43	376.01
106.71	11.89	10.83	83.48	88.42	445.4	423.28
107.15	16.51	11.25	83.52	88.54	445.5	425.19
108.05	26.78	9.41	83.6	88.65	443.38	440.44
109.17	23.17	12.24	83.98	88.88	447.2	402.31
109.37	17.44	12.03	84.02	88.92	447.29	414.51
109.56	14.51	11.39	84.02	88.92	447.24	396.98
109.74	12.98	11.6	84.02	88.92	447.28	399.26
109.91	11.75	11.32	84.02	89	445.11	390.11
110.09	11.36	11.6	84.06	89	447.16	400.03
110.94	7.64	14.51	84.21	89.19	445.49	454.54
110.94	7.64	12.6	84.25	89.38	445.47	431.67
111.37	21.15	14.58	84.29	89.38	445.39	446.16
111.43	15.46	13.09	84.32	89.49	445.33	438.15
111.56	12.96	12.38	84.32	89.49	445.54	443.11
111.68	11.5	10.33	84.4	89.57	447.22	392.4
111.82	9.29	10.19	84.4	89.49	447.2	382.87
111.99	10.58	10.4	84.44	89.49	447.22	390.87
112.15	8.59	10.4	84.48	89.53	447.19	424.43
112.46	10.26	13.02	84.51	89.57	447.23	417.56
112.65	11.45	12.88	84.55	89.64	447.22	411.84
112.85	12.26	13.09	84.59	89.68	447.14	445.77
113.06	13.1	13.3	84.63	89.76	447.29	434.72
113.22	13.16	13.02	84.67	89.8	447.22	405.74
113.68	16.69	15.5	84.7	89.8	447.2	416.8
113.68	16.69	13.87	84.74	89.8	447.35	410.32
113.68	16.69	12.38	84.78	89.83	447.24	403.84
114.32	18.25	15.85	84.78	89.83	447.2	445.39
114.36	12.61	13.3	84.78	89.99	447.16	488.86
114.91	24.44	12.81	84.82	89.99	447.15	480.09
116.21	143.74	11.68	84.86	90.14	447.13	478.94
116.97	51.51	13.73	84.86	90.02	447.21	441.96
117.32	32.5	14.44	84.93	90.18	445.08	427.09
117.55	23.31	14.36	84.97	90.14	445.02	428.24
117.76	18.16	14.15	84.97	90.18	445.09	437.39
118	15.34	13.8	85.01	90.22	445.07	432.81
118.25	13.97	13.87	85.05	90.25	447.2	439.68
118.52	14.56	13.73	85.09	90.25	444.96	433.19
118.76	15.07	13.94	84.82	90.29	443.27	412.61
118.97	14.5	14.01	84.9	90.29	446.33	421.76
119.18	14.15	13.94	84.78	90.25	445.5	419.47
119.38	13.6	13.8	84.74	90.22	443.83	422.52
119.61	12.88	13.66	84.82	90.14	442.11	427.09
119.9	13.65	13.59	84.9	90.1	442.8	470.94
120.27	16.44	13.09	84.97	90.18	442.62	456.07
120.56	18.55	13.44	85.05	90.18	440.86	424.81
120.8	18.35	13.94	85.09	90.18	442.83	419.09
120.97	15.9	14.22	85.12	90.18	442.79	412.99
